id1	id2	type
CEP55	MAD2L1	correlation_pair
ARHGAP11A	MAD2L1	correlation_pair
FOXM1	MAD2L1	correlation_pair
CDCA5	MAD2L1	correlation_pair
BUB1	MAD2L1	correlation_pair
CKAP2L	MAD2L1	correlation_pair
CCNB2	MAD2L1	correlation_pair
DEPDC1B	MAD2L1	correlation_pair
CCNA2	MAD2L1	correlation_pair
FAM83D	MAD2L1	correlation_pair
CENPE	MAD2L1	correlation_pair
CENPA	MAD2L1	correlation_pair
DSG3	KRT14	correlation_pair
ANXA8	KRT14	correlation_pair
DSC3	KRT14	correlation_pair
DACT1	GLT8D2	correlation_pair
ADAM12	GLT8D2	correlation_pair
COL10A1	GLT8D2	correlation_pair
COL1A2	GLT8D2	correlation_pair
CTSK	GLT8D2	correlation_pair
FAP	GLT8D2	correlation_pair
CYS1	GLT8D2	correlation_pair
COL5A2	GLT8D2	correlation_pair
COL5A1	GLT8D2	correlation_pair
ANTXR1	GLT8D2	correlation_pair
COL1A1	GLT8D2	correlation_pair
COL6A1	GLT8D2	correlation_pair
COL6A3	GLT8D2	correlation_pair
AEBP1	GLT8D2	correlation_pair
CDH11	GLT8D2	correlation_pair
COL3A1	GLT8D2	correlation_pair
CDC6	TOP2A	correlation_pair
BUB1B	TOP2A	correlation_pair
CKAP2L	TOP2A	correlation_pair
NUSAP1	TOP2A	correlation_pair
KRT14	KRT17	correlation_pair
DSG3	KRT17	correlation_pair
ANXA8L2	KRT17	correlation_pair
ANXA8	KRT17	correlation_pair
DSC3	KRT17	correlation_pair
PPAPDC1A	SRPX2	correlation_pair
DACT1	SRPX2	correlation_pair
ADAM12	SRPX2	correlation_pair
COL10A1	SRPX2	correlation_pair
GLT8D2	SRPX2	correlation_pair
NID2	SRPX2	correlation_pair
COL1A2	SRPX2	correlation_pair
CTSK	SRPX2	correlation_pair
POSTN	SRPX2	correlation_pair
FAP	SRPX2	correlation_pair
COL5A2	SRPX2	correlation_pair
COL5A1	SRPX2	correlation_pair
