id1	id2	type
413197	EP300	MDM2	PPI
413213	MDM2	TP53	PPI
413223	CACNG8	MDM2	PPI
413247	CACNG2	MDM2	PPI
413260	MDM2	PPP2R1B	PPI
413268	MDM2	RBBP6	PPI
413273	MDM2	PPP2R1A	PPI
413286	KAT5	MDM2	PPI
413293	MDM2	USP7	PPI
413301	CCNG1	MDM2	PPI
413322	MDM2	MDM4	PPI
413338	MDM2	RPL5	PPI
413352	MDM2	UBE2D1	PPI
413367	DAXX	MDM2	PPI
413373	MDM2	RPL11	PPI
413383	MDM2	TP73	PPI
413395	MDM2	SUMO1	PPI
413405	CDKN2D	MDM2	PPI
413416	DLG4	MDM2	PPI
413420	MDM2	RUNX3	PPI
413439	MDM2	PPP2R5C	PPI
413445	MDM2	PPP2CA	PPI
413452	CDKN2A	MDM2	PPI
413460	MDM2	RPL23	PPI
413835	DYNC1LI2	NDC80	PPI
413946	DYNC1LI2	NUF2	PPI
414117	BIRC5	DYNC1LI2	PPI
414504	CENPF	DYNC1LI2	PPI
414568	DYNC1LI2	KIF2C	PPI
414576	CDC20	DYNC1LI2	PPI
415812	FBXL8	UBE2C	PPI
421822	CDC20	USP44	PPI
423167	KDELR2	KIF2C	PPI
424150	EXO1	HUS1	PPI
426939	BRIP1	EXO1	PPI
437205	DCTN3	KIF2C	PPI
441930	RNF144B	UBE2C	PPI
452317	ERBB2	LRPPRC	PPI
453287	EXO1	TOPBP1	PPI
454153	BARD1	UBE2C	PPI
454238	BARD1	EXO1	PPI
456196	HECW2	UBE2C	PPI
466879	NDC80	NUP133	PPI
466989	NUF2	NUP133	PPI
467163	BIRC5	NUP133	PPI
467480	CENPF	NUP133	PPI
467569	KIF2C	NUP133	PPI
467577	CDC20	NUP133	PPI
469997	CDC20	UBE2K	PPI
470998	NDC80	PPP2R5A	PPI
471094	NUF2	PPP2R5A	PPI
471232	BIRC5	PPP2R5A	PPI
471540	CENPF	PPP2R5A	PPI
471594	KIF2C	PPP2R5A	PPI
471602	CDC20	PPP2R5A	PPI
478148	EXO1	PALB2	PPI
478790	RNF138	UBE2C	PPI
479550	NDC80	TAOK1	PPI
479558	KIF18A	NDC80	PPI
479574	CLASP1	NDC80	PPI
479582	NDC80	SGO1	PPI
479590	CENPE	NDC80	PPI
479598	NDC80	SPDL1	PPI
479609	KIF2B	NDC80	PPI
479625	NDC80	NUF2	PPI
479633	DYNC1LI1	NDC80	PPI
479641	CENPC	NDC80	PPI
479656	CDCA5	NDC80	PPI
479673	CENPU	NDC80	PPI
479681	NDC80	SPC25	PPI
479689	CENPH	NDC80	PPI
479697	NDC80	RANBP2	PPI
479705	NDC80	SKA1	PPI
