ESR1	TTC7A
MICALL1	TTC7A
GATA3	TTC7A
FOXA1	TTC7A
C5orf30	TTC7A
SLC22A5	TTC7A
THSD4	UQCRHL
STMN1	UQCRHL
TBC1D9	UQCRHL
PSMB2	UQCRHL
MRPL37	UQCRHL
RABEP1	UQCRHL
SNRPA	UQCRHL
UQCRH	UQCRHL
INPP4B	UQCRHL
NASP	UQCRHL
UBE2S	UQCRHL
RANBP1	UQCRHL
HMGA1	UQCRHL
CDCA8	UQCRHL
SNRPG	UQCRHL
DNAL1	UQCRHL
CDC20	UQCRHL
C5orf36	UQCRHL
APH1B	UQCRHL
CENPW	UQCRHL
ASF1B	C15orf23
AURKA	C15orf23
AURKB	C15orf23
BUB1B	C15orf23
BIRC5	C15orf23
ANLN	C15orf23
C12orf48	C15orf23
ARHGAP11A	C15orf23
BLM	C15orf23
BUB1	C15orf23
ASPM	C15orf23
GTSE1	STMN1
GPSM2	STMN1
CKS1B	STMN1
MCM10	STMN1
DLGAP5	STMN1
OIP5	STMN1
NDC80	STMN1
ERCC6L	STMN1
ASF1B	STMN1
SPC25	STMN1
ORC1L	STMN1
C1orf135	STMN1
FAM64A	STMN1
CDC45	STMN1
CCDC150	STMN1
STIL	STMN1
FAM72B	STMN1
FAM72A	STMN1
PCNA	STMN1
H2AFZ	STMN1
SNRPA	STMN1
E2F2	STMN1
E2F1	STMN1
SKA3	STMN1
AURKA	STMN1
AURKB	STMN1
KIF23	STMN1
LMNB1	STMN1
MAD2L1	STMN1
HAUS8	STMN1
DBF4	STMN1
CCNE1	STMN1
SGOL1	STMN1
ORC6L	STMN1
KIF4A	STMN1
MND1	STMN1
KIF14	STMN1
KIF20A	STMN1
MKI67	STMN1
BUB1B	STMN1
CDC25C	STMN1
NASP	STMN1
DEPDC1	STMN1
FANCA	STMN1
CDK1	STMN1
CEP55	STMN1
C15orf42	STMN1
BIRC5	STMN1
ANLN	STMN1
GSG2	STMN1
KIFC1	STMN1
RANBP1	STMN1
ARHGAP11A	STMN1
RRM2	STMN1
RNASEH2A	STMN1
NEIL3	STMN1
CENPM	STMN1
NCAPH	STMN1
RFC4	STMN1
FBXO5	STMN1
FOXM1	STMN1
PTTG1	STMN1
CDCA2	STMN1
CDCA3	STMN1
CDCA4	STMN1
CDCA5	STMN1
CDCA8	STMN1
NEK2	STMN1
CHEK1	STMN1
GINS1	STMN1
NUF2	STMN1
C16orf61	STMN1
CDC25A	STMN1
PIF1	STMN1
MYBL2	STMN1
HMGB2	STMN1
KIF18A	STMN1
KIF18B	STMN1
MCM7	STMN1
MCM6	STMN1
MCM5	STMN1
PKMYT1	STMN1
CDC20	STMN1
RAD54L	STMN1
BLM	STMN1
BUB1	STMN1
MCM3	STMN1
MCM2	STMN1
SKA1	STMN1
CKAP2L	STMN1
IQGAP3	STMN1
CCNB2	STMN1
CCNB1	STMN1
DDX39	STMN1
ASPM	STMN1
CDKN3	STMN1
DONSON	STMN1
PRC1	STMN1
RFC2	STMN1
KIF15	STMN1
KIF11	STMN1
CKS2	STMN1
PLK1	STMN1
PLK4	STMN1
HJURP	STMN1
ESPL1	STMN1
POLQ	STMN1
NCAPD2	STMN1
FEN1	STMN1
DEPDC1B	STMN1
CCNA2	STMN1
NCAPG	STMN1
EXO1	STMN1
PSRC1	STMN1
FAM54A	STMN1
FAM83D	STMN1
CENPN	STMN1
CENPH	STMN1
CENPF	STMN1
CENPE	STMN1
CENPA	STMN1
CENPW	STMN1
CTPS	STMN1
DSCC1	STMN1
EZH2	STMN1
MELK	STMN1
KIF2C	STMN1
RAD51AP1	STMN1
CDT1	STMN1
RAD51	STMN1
NUSAP1	STMN1
PDSS1	STMN1
C9orf100	STMN1
AGR2	ERGIC1
CCDC125	ERGIC1
C9orf152	ERGIC1
C1orf64	ERGIC1
C17orf28	ERGIC1
CKS1B	DLGAP5
C15orf23	DLGAP5
ASF1B	DLGAP5
C1orf135	DLGAP5
CDC45	DLGAP5
CCDC150	DLGAP5
BRIP1	DLGAP5
AURKA	DLGAP5
AURKB	DLGAP5
CDC6	DLGAP5
CDC7	DLGAP5
DBF4	DLGAP5
CCNE2	DLGAP5
CCNE1	DLGAP5
CIT	DLGAP5
BUB1B	DLGAP5
CDC25C	DLGAP5
DEPDC1	DLGAP5
CDK1	DLGAP5
CEP55	DLGAP5
CCDC99	DLGAP5
C15orf42	DLGAP5
BIRC5	DLGAP5
ANLN	DLGAP5
C12orf48	DLGAP5
ARHGAP11A	DLGAP5
ARHGAP11B	DLGAP5
CENPM	DLGAP5
CHAF1B	DLGAP5
CDCA2	DLGAP5
CDCA3	DLGAP5
CDCA5	DLGAP5
CDCA8	DLGAP5
CHEK1	DLGAP5
CDC25A	DLGAP5
CLSPN	DLGAP5
CDC20	DLGAP5
BLM	DLGAP5
BUB1	DLGAP5
C11orf82	DLGAP5
CKAP2L	DLGAP5
CCNB2	DLGAP5
CCNB1	DLGAP5
ASPM	DLGAP5
CDKN3	DLGAP5
DIAPH3	DLGAP5
CKS2	DLGAP5
ATAD2	DLGAP5
DEPDC1B	DLGAP5
CCNA2	DLGAP5
C17orf53	DLGAP5
CENPO	DLGAP5
CENPN	DLGAP5
CENPL	DLGAP5
CENPK	DLGAP5
CENPI	DLGAP5
CENPF	DLGAP5
CENPE	DLGAP5
CENPA	DLGAP5
